lotid,slotid,shot_x,shot_y,item,value
E39923,6,2,4,misalign_30,99999
E39923,6,2,4,misalign_20,99999
E39923,6,2,4,misalign_10,41
E39923,6,2,4,misalign_0,80
E39923,6,2,4,misalign_-10,67
E39923,6,2,4,misalign_-20,99999
E39923,6,2,4,misalign_-30,99999
E39923,4,4,1,misalign_30,99999
E39923,4,4,1,misalign_20,99999
E39923,4,4,1,misalign_10,99999
E39923,4,4,1,misalign_0,52
E39923,4,4,1,misalign_-10,45
E39923,4,4,1,misalign_-20,49
E39923,4,4,1,misalign_-30,99999
E33462,1,4,3,misalign_30,99999
E33462,1,4,3,misalign_20,99999
E33462,1,4,3,misalign_10,86
E33462,1,4,3,misalign_0,15
E33462,1,4,3,misalign_-10,54
E33462,1,4,3,misalign_-20,99999
E33462,1,4,3,misalign_-30,99999
E33462,21,6,3,misalign_30,99999
E33462,21,6,3,misalign_20,91
E33462,21,6,3,misalign_10,91
E33462,21,6,3,misalign_0,44
E33462,21,6,3,misalign_-10,13
E33462,21,6,3,misalign_-20,99999
E33462,21,6,3,misalign_-30,99999
E39923,20,5,4,misalign_30,99999
E39923,20,5,4,misalign_20,99999
E39923,20,5,4,misalign_10,2
E39923,20,5,4,misalign_0,67
E39923,20,5,4,misalign_-10,83
E39923,20,5,4,misalign_-20,99999
E39923,20,5,4,misalign_-30,99999
E39923,13,1,3,misalign_30,99999
E39923,13,1,3,misalign_20,83
E39923,13,1,3,misalign_10,88
E39923,13,1,3,misalign_0,95
E39923,13,1,3,misalign_-10,99999
E39923,13,1,3,misalign_-20,99999
E39923,13,1,3,misalign_-30,99999
E64217,4,4,1,misalign_30,99999
E64217,4,4,1,misalign_20,99999
E64217,4,4,1,misalign_10,42
E64217,4,4,1,misalign_0,65
E64217,4,4,1,misalign_-10,16
E64217,4,4,1,misalign_-20,7
E64217,4,4,1,misalign_-30,99999
E33462,8,5,4,misalign_30,99999
E33462,8,5,4,misalign_20,99999
E33462,8,5,4,misalign_10,99999
E33462,8,5,4,misalign_0,11
E33462,8,5,4,misalign_-10,55
E33462,8,5,4,misalign_-20,99999
E33462,8,5,4,misalign_-30,99999
E64217,17,4,3,misalign_30,99999
E64217,17,4,3,misalign_20,99999
E64217,17,4,3,misalign_10,33
E64217,17,4,3,misalign_0,73
E64217,17,4,3,misalign_-10,58
E64217,17,4,3,misalign_-20,99999
E64217,17,4,3,misalign_-30,99999
E64217,16,5,4,misalign_30,99999
E64217,16,5,4,misalign_20,99999
E64217,16,5,4,misalign_10,65
E64217,16,5,4,misalign_0,52
E64217,16,5,4,misalign_-10,17
E64217,16,5,4,misalign_-20,99999
E64217,16,5,4,misalign_-30,99999
E33462,16,5,4,misalign_30,99999
E33462,16,5,4,misalign_20,99999
E33462,16,5,4,misalign_10,64
E33462,16,5,4,misalign_0,46
E33462,16,5,4,misalign_-10,34
E33462,16,5,4,misalign_-20,24
E33462,16,5,4,misalign_-30,99999
E39923,8,7,2,misalign_30,99999
E39923,8,7,2,misalign_20,99999
E39923,8,7,2,misalign_10,22
E39923,8,7,2,misalign_0,20
E39923,8,7,2,misalign_-10,21
E39923,8,7,2,misalign_-20,99999
E39923,8,7,2,misalign_-30,99999
E39923,2,4,1,misalign_30,99999
E39923,2,4,1,misalign_20,21
E39923,2,4,1,misalign_10,9
E39923,2,4,1,misalign_0,26
E39923,2,4,1,misalign_-10,86
E39923,2,4,1,misalign_-20,99999
E39923,2,4,1,misalign_-30,99999
E43313,16,2,2,misalign_30,53
E43313,16,2,2,misalign_20,52
E43313,16,2,2,misalign_10,47
E43313,16,2,2,misalign_0,59
E43313,16,2,2,misalign_-10,99999
E43313,16,2,2,misalign_-20,99999
E43313,16,2,2,misalign_-30,99999
E64217,9,2,4,misalign_30,99999
E64217,9,2,4,misalign_20,99999
E64217,9,2,4,misalign_10,10
E64217,9,2,4,misalign_0,20
E64217,9,2,4,misalign_-10,81
E64217,9,2,4,misalign_-20,99999
E64217,9,2,4,misalign_-30,99999
E43313,18,4,1,misalign_30,99999
E43313,18,4,1,misalign_20,99999
E43313,18,4,1,misalign_10,67
E43313,18,4,1,misalign_0,28
E43313,18,4,1,misalign_-10,99999
E43313,18,4,1,misalign_-20,99999
E43313,18,4,1,misalign_-30,99999
E33462,9,2,2,misalign_30,99999
E33462,9,2,2,misalign_20,36
E33462,9,2,2,misalign_10,34
E33462,9,2,2,misalign_0,39
E33462,9,2,2,misalign_-10,42
E33462,9,2,2,misalign_-20,41
E33462,9,2,2,misalign_-30,99999
E64217,14,6,3,misalign_30,99999
E64217,14,6,3,misalign_20,99999
E64217,14,6,3,misalign_10,99999
E64217,14,6,3,misalign_0,81
E64217,14,6,3,misalign_-10,39
E64217,14,6,3,misalign_-20,16
E64217,14,6,3,misalign_-30,99999
E33462,16,4,3,misalign_30,99999
E33462,16,4,3,misalign_20,99999
E33462,16,4,3,misalign_10,36
E33462,16,4,3,misalign_0,82
E33462,16,4,3,misalign_-10,24
E33462,16,4,3,misalign_-20,99999
E33462,16,4,3,misalign_-30,99999
E33462,12,2,4,misalign_30,99999
E33462,12,2,4,misalign_20,99999
E33462,12,2,4,misalign_10,99999
E33462,12,2,4,misalign_0,11
E33462,12,2,4,misalign_-10,22
E33462,12,2,4,misalign_-20,46
E33462,12,2,4,misalign_-30,99999
E43313,23,4,3,misalign_30,99999
E43313,23,4,3,misalign_20,82
E43313,23,4,3,misalign_10,97
E43313,23,4,3,misalign_0,3
E43313,23,4,3,misalign_-10,99999
E43313,23,4,3,misalign_-20,99999
E43313,23,4,3,misalign_-30,99999
E43313,17,4,3,misalign_30,99999
E43313,17,4,3,misalign_20,99999
E43313,17,4,3,misalign_10,54
E43313,17,4,3,misalign_0,62
E43313,17,4,3,misalign_-10,4
E43313,17,4,3,misalign_-20,99999
E43313,17,4,3,misalign_-30,99999
E33462,14,2,2,misalign_30,99999
E33462,14,2,2,misalign_20,99999
E33462,14,2,2,misalign_10,25
E33462,14,2,2,misalign_0,88
E33462,14,2,2,misalign_-10,74
E33462,14,2,2,misalign_-20,99999
E33462,14,2,2,misalign_-30,99999
E64217,13,6,3,misalign_30,99999
E64217,13,6,3,misalign_20,88
E64217,13,6,3,misalign_10,16
E64217,13,6,3,misalign_0,48
E64217,13,6,3,misalign_-10,99999
E64217,13,6,3,misalign_-20,99999
E64217,13,6,3,misalign_-30,99999
E33462,8,7,2,misalign_30,99999
E33462,8,7,2,misalign_20,99999
E33462,8,7,2,misalign_10,99999
E33462,8,7,2,misalign_0,59
E33462,8,7,2,misalign_-10,32
E33462,8,7,2,misalign_-20,30
E33462,8,7,2,misalign_-30,84
E39923,25,2,2,misalign_30,99999
E39923,25,2,2,misalign_20,99999
E39923,25,2,2,misalign_10,99999
E39923,25,2,2,misalign_0,68
E39923,25,2,2,misalign_-10,99999
E39923,25,2,2,misalign_-20,99999
E39923,25,2,2,misalign_-30,99999
E33462,4,5,4,misalign_30,99999
E33462,4,5,4,misalign_20,99999
E33462,4,5,4,misalign_10,52
E33462,4,5,4,misalign_0,98
E33462,4,5,4,misalign_-10,94
E33462,4,5,4,misalign_-20,99999
E33462,4,5,4,misalign_-30,99999
E64217,9,6,3,misalign_30,99999
E64217,9,6,3,misalign_20,35
E64217,9,6,3,misalign_10,77
E64217,9,6,3,misalign_0,98
E64217,9,6,3,misalign_-10,99999
E64217,9,6,3,misalign_-20,99999
E64217,9,6,3,misalign_-30,99999
E33462,19,5,4,misalign_30,99999
E33462,19,5,4,misalign_20,99999
E33462,19,5,4,misalign_10,25
E33462,19,5,4,misalign_0,86
E33462,19,5,4,misalign_-10,56
E33462,19,5,4,misalign_-20,99999
E33462,19,5,4,misalign_-30,99999
E43313,18,6,3,misalign_30,99999
E43313,18,6,3,misalign_20,99999
E43313,18,6,3,misalign_10,87
E43313,18,6,3,misalign_0,45
E43313,18,6,3,misalign_-10,3
E43313,18,6,3,misalign_-20,99999
E43313,18,6,3,misalign_-30,99999
E43313,2,2,2,misalign_30,99999
E43313,2,2,2,misalign_20,99999
E43313,2,2,2,misalign_10,99999
E43313,2,2,2,misalign_0,86
E43313,2,2,2,misalign_-10,99
E43313,2,2,2,misalign_-20,47
